date,review,rating,user,source,month,year,neg_review
2020-09-11 13:47:35,Not a good experience for first timer. Login and sign up was not a problem. What i did not like at all was after entering all details it prompted me no delivery dates are available which should have been the first step instead of last,1,Monish Punekar,googleplay,9,2020,1
2020-07-31 21:04:24,"One of the lousiest app! Tried using it several times since May 20 but never once did I complete the transaction. Reason: 1. In May 20 it always say ""no slot"". By the time there was slot, many items in my cart had become ""no stock"". No point for me to pay the delivery fee for a ""half-filled cart"". 2. In Jul 20 I tried to use the app again to utilise a promo code. But it kept saying ""promo code error"". When the code finally got accepted, some items became ""no stock"" again. It's so irritating!",1,yt ng,googleplay,7,2020,1
2020-09-06 08:10:27,Lousy app. Cannot find most items using brand name. Now they change the use of label scanning in app which totally disable the label function when store not detected. Slow and unstable. Any online grocery app now is far better.,1,Nathanael Lim,googleplay,9,2020,1
2020-06-25 00:07:48,NEW : GETS BETTER AND BETTER - MY LISTS DON'T WORK NOW - how to shop? OLD: this app has improved significantly over the last 2+year. It still is missing the AI to anticipate what you want to order and to. give quick access to your shopping list and. allow you to sort and filter your favourites / shopping list ... This makes the app. very inefficient and slow to shop in.. And product wise - consistently rotten fruit and vegetables,1,A Google user,googleplay,6,2020,1
2020-07-19 12:43:30,The app would have gotten a 4 stars from me except the fact that it is not thought thru well enough as all purchases thru this app are not eligible for the bonus points that consumers need for redemption. It is quite a disappointment that such a basic feature is not included into the app.,1,Desmond Tan,googleplay,7,2020,1
2020-08-06 15:13:41,"All the complaints by other users also happened to me. I even email to them but nothing rectified. I think I have to uninstall this app totally and stop ordering from them online. Think I can't even give them a star, but I can't post when I didn't click 1 star .Waste a lot of my time locking in and out, items out of stock, no time slot available and can't even checkout.",1,Rena Teo Hua Gan,googleplay,8,2020,1
2020-08-30 21:07:44,"Encountered payment not successful error, credit card not charged. Pls check it out",1,wilson g,googleplay,8,2020,1
2020-08-25 16:05:29,Always get changes to my order. Items out of stock after order is placed. Free delivery but charge service and packing. So it is not really free. One item on sale in the app but charged full amount.,1,Irrahce,googleplay,8,2020,1
2020-08-14 10:00:07,Very lousy experience. Not able to change on self collect even the help guide say otherwise. Not user friendly. Hard to navigate,1,Adeline Gui,googleplay,8,2020,1
2020-07-26 15:22:45,"Looks like it's not working. Anytime l login, it shows slots are full. How come no slot available anytime time of the day or night? Extremely disappointed",1,Seema Singh,googleplay,7,2020,1
2020-07-10 00:33:55,Ridiculous fees with 1001 restrictions! Use at your own risk!A lot of items out of stock but the nearby physical store has the stock!,1,yf yf1,googleplay,7,2020,1
2020-08-13 00:40:16,Rubbish app. Added 20 over items. All disappear from cart when about to pay. Big enterprise earning so much profit a year cannot afford to test and remove bugs from app.,1,Leslie Sim,googleplay,8,2020,1
2020-08-12 22:08:19,Useless online grocery app. Poor product range and availablity. Most things are out of stock.,1,Calvin Lee,googleplay,8,2020,1
2020-07-29 16:48:14,Some items keep disappearing from the cart when i tried to pay!! What's happening???,1,Adeline Low,googleplay,7,2020,1
2020-09-06 03:05:53,Purchases made through your FairPrice app will not get to earn Link! Points. Very unfair and highly disappointed at your policies. Will delete this app henceforth.,1,Gilbert Goh,googleplay,9,2020,1
2020-06-23 08:24:17,Why no linkpoint issuance or assoc. Still ntuc member and doing shopping on ntuc platform. whats the point of having an online platform yet you discourage people to do online n go offline shoppi g to gain the points?,1,Hasbullah Ali,googleplay,6,2020,1
2020-08-21 07:40:52,Unstable. Cannot view order on the day of delivery so cannot check delivery stuff.,1,Jasmin Lin,googleplay,8,2020,1
2020-04-12 00:20:56,The app is very very slow and takes a very long time to load. Alot of the items are out of stock too. The delivery time is also unavailable. I have been trying to load my cart for more than half an hour now and it's still not loading until now. ( not my network as all the other apps works perfectly fine),1,Fung qirun,googleplay,4,2020,1
