isEdited,developerResponse,title,date,review,rating,userName
False,"{'id': 11055158, 'body': 'Thank you for your compliment and support.  Providing a good experience is our priority and we’ll continue to improve our app features, range of products and deals to serve you better. \r\n\r\nWe would love to hear more from you @ app-feedback@fairprice.com.sg on areas we can improve further.\r', 'modified': '2019-10-04T10:35:10Z'}",👍🏻 new design,2019-10-01 12:28:24,"The revamped design looks fabulous; much better than the old one! 
As per one of the below reviews, it is not a good experience to receive an email the following day after payment is made informing that one of the items is out of stock. We hope the inventory system has been upgraded to prevent this again. It’d be ideal if there’s an option we could be notified via SMS or email when stock is available.
I’ll review the revamped app for a bit more to decide if I want to change my rating to 5stars.",4,blu8erry
False,"{'id': 12014034, 'body': 'We’re sorry for the unstable app experience you had with us. Providing a good experience is our priority and we would like to find out more about the issue regarding app crashes when using search function. In the meantime, we have found the issue and released a fix for the in-correct cart quantity, please download the latest version. Could you contact us at @ app-feedback@fairprice.com.sg? We assure your time will not be wasted.', 'modified': '2019-11-24T05:55:04Z'}",Poor service,2019-11-16 11:53:04,"Many times.  Nobody informed ‘Out of stock’ on the items that I ordered.  Although The order that will be sent to me show the stock item.  I Always have to call to check after their deliveries.
Today,  email and text message show my order is on the way.   After a Long wait, I called and found out my order had been cancelled due to some technical issue.   Nobody in Fairprice bother to call and inform.  I had been waiting for the order as one of the item I ordered urgently need to used.    Only a simply apologise and ask me to order again and they can only deliver the earliest that is next Monday!
I spent $500 to S$600 a month in Fairprice and what I get in return is many disappointment.
Leaving me no choice but to turn other supermart to buy my things.",5,Livelygirl98
False,"{'id': 11747554, 'body': 'We’re sorry for the unstable app experience you had with us. We value your feedback and want to understand more so that we can continuously improve the user experience. \r\n\r\nCould you contact us at @ app-feedback@fairprice.com.sg? We assure you that your time would not be wasted. If you help us, we can compensate you for your time, pls write to us.\r', 'modified': '2019-11-09T11:53:08Z'}",Latest New Design Not User Friendly,2019-10-24 23:37:31,"The new design is not intuitive to users.
It also doesn’t carry all the different categories of offers that are in the Straits Times, and these used to be in the old design of the app. I searched the entire newly designed app and can’t find the followings, which were obvious to users in the old design: 

1st: Deepavali Specials - the items listed under “Deepavali Draw” in the new design are NOT the same as those advertised in the Straits Times. Previously, they were the same and there was a clear and obvious designed category “Deepavali Specials” that I could click on to get the full list of items on offer.

2nd: 3-day Weekend Offers: This is not listed at all today in the new design. In the old design of the app, it was uploaded every Friday, to sync with the newspaper advertisement. Plus, users only needed to click “3-day Weekend Offers” to see all items on offer in this category in the old design.

3rd: Brands Offers: The old design was so easy and intuitive to use - just a click on the freebies from the different brands, users would see the various items of that specific brand to buy. Now, users only see the freebie & statement like “Free pan with $60 purchase”. Click it, users only see the free pan! Now, what users should see is what are the items to choose from to make up $60 to enjoy the free pan.",1,Family Passion
False,"{'id': 15465726, 'body': ""We sincerely apologize for the troubles you've had with the app. Please drop us a message at app-feedback@fairprice.com.sg so that we can better help you with this issue. We value your feedback and seek your help to improve the user experience. Thank you.\r"", 'modified': '2020-05-21T09:35:51Z'}",Can’t checkout due to address n contact fields errors,2020-04-30 09:30:25,"This is the first time I’m ordering thru the mobile app and it asked me for my address n contact details. Strange as such details are already stored as I have ordered online many times over the years. Nevertheless I keyed them in but it didn’t register nor save. I have missed three 2-hrs time slots since morning. For the last one, I had to quickly open my PC n used it to order instead n thankfully it went thru. Please check the bugs in the mobile app. While I would like to thank the workers for their hardwork in this crisis, the service level is still not up to mark. Getting a delivery slot is a full time affair from morning till evening and many items already in the cart are constantly out of stock The whole experience doesn’t give the assurance that Singapore can feed its people should the pandemic be prolonged.",1,Crunchy Planters
False,,Room for improvement,2019-08-27 23:38:06,"I have no problem using this App. I am a regular buyer for years from various online grocery Apps namely Redmart, Giant, Sheng Siong, Honestbee and Prime. Though the one disappointing experience is the fresh chicken range is always out of stock 9 out of 10 times when I was going to check out. I wish I could have known it earlier. After spending a long time browsing and finalising my list without the chicken (I usually need to order 4-6 chickens) means I either had to give up my order or order part from here then go to another site to order the chickens.  It’s also disappointing that there are no fresh pork and seafood.",5,first impression bad
False,,Delivery Late More Than 2 Hours-Disadvantaging Ppl,2019-04-26 04:07:34,"Delivery is late for more than 2 hours to the promised delivery time. 

Called customer service only to be told to wait for 15-20mins. However when its passed 20mins, every time i called, they give the same instructions to wait for another 15 minutes. In the end i waited for more than 2 hours. 

It is not honest and causes disadvantages to people to tell someone to wait for 15 minutes, only for the delivery to come 2 hour later. I can not go anywhere, if i knows it will be more than 2 hours late, i will finish my other tasks first.

The customer service is not reliable in servicing customer.

The driver on the other hand, called my husband that he will arrive 5-7 minutes. But 20 minutes later, the driver is not here yet. I called the driver, but no explanation is given and it seems like the driver is clueless with the location of our place, despite this is our 3rd time ordering from fairprice online, and my place is just beside mrt.

The driver only arrived 30 minutes later from the promised arrival time. Total waiting time’s more than 2 hours

Overall not professional, messy logistics, slow response, incompetence, disappointing and not reliable.",1,v dissapointed cust
False,,Satisfied,2019-04-06 06:43:24,"The app has improved so much since the last time I used. I can find close to all the items I need. Sometimes even those that I don’t see in every store. The app is updated with weekly PWPs and offers which are found in the stores as well. It is so convenient for me, esp with 2 young kids. I do not need to queue to make payment and carry those heavy and big items home now. Delivery timings can also be selected to make sure you are around when your loot arrives. This is very important if you order frozen and chilled items. Overall, highly satisfied.",5,Anna&Red
False,,The new interface is so so,2018-05-05 14:50:34,"I find it very difficult to choose the products I want when I could not read the details from the selection view. Have to click in to know what item it is. The brand name of the product is too big. Eg, I want yo buy frozen beef cubes but I can’t figure out from the picture and need to click in all the time to check. 
The other issue is the stock availability. Sometimes the stock is not up to date and only when I am checking out them I am prompted stock unavailable notice. Need to go back and remove the items and is amount went below$59, I have to add more things to top it up in order to get free delivery. It’s rather frustrating.",3,cyong1703
False,,Display is not as good as Redmart,2018-04-11 15:42:14,"Very happy to finally buy fr ntuc online however still more improvements needed. 

1) Sale price after discount not shown. Only amount of discount shown so customer have to calculate how much is the final price and if it is worth it. Redmart shows final price upfront! So smart for the shopper to decide!

2) Photos are so tiny! Please see and compare Redmart.

3) Product Title so long that you can’t see unless you click each item! So you have to guess which flavour you want click and see if you got the right box!  Please learn from Redmart.

4) So many different sub categories of sale items and deals going on. And always sold out when you check out. Arggh irritating.

5) Delivery cost is too high. Again compare Redmart to stay competitive. And why if we opt for pick up, the rebate $3 is only for next purchase? $3 doesn’t even cover carpark costs, I mean seriously... 

6) Your FOC delivery min is so high and otherwise it’s $7. Why would anyone buy from you based on that if Redmart gives foc delivery min $40, otherwise $4.99 delv cost? 

Please Ntuc is not the only supermarket choice around anymore.",2,Sweetsweethalo
False,,Liz,2018-02-12 03:26:54,"Pros: The new interface is nicer and the search function is better, similar to RedMart. Barcode scanner is the great new feature, very convenient.
Cons: 100% agree with the 1st review. Another bad thing is you can’t not view your order after payment was made unless it was delivered and in the Completed orders section. Every time you click on to the order, it loads and crashes and you’re logged out. 
All the new features could not make up for the frustration. 
Just wonder how could Fairprice launch a faulty website which is so much inconvenient than their current. And no improvements was made for almost 3 weeks. Which IT company is doing such a job not up to the IT service quality standards of Singapore.",2,Liz Nguyen SG
False,"{'id': 11191232, 'body': 'We’re sorry for the unstable app experience you had with us. We value your feedback and want to understand more so that we can continuously improve the user experience. \r\n\r\nPlease help us improve! We will be happy to offer a token of appreciation for your feedback and help. Do contact us at app-feedback@fairprice.com.sg.\r', 'modified': '2019-10-11T10:56:19Z'}",Latest version errors,2019-10-11 02:01:47,"The latest app version is really bad. Each time I launched the app to order some stuff, the cart is full of items from my fav list with ridiculous quantities indicated. Even when I tried to clear each one ... which is painfully slow ... the ridiculous items and quantities are reflected again ... even when I refreshed the app. What’s wrong with the version? It’s worse than the previous one!  I haven’t been able to order anything online since the new version was uploaded 😡😡👎👎",5,yf.fun
False,"{'id': 12381924, 'body': ""We sincerely apologize for the troubles you've had with your order. We're constantly working to expand our product range and ensure stock availability. In the meantime, please drop us a message at app-feedback@fairprice.com.sg so that we may investigate this issue further. We value your opinion and seek your help to improve the user experience.\n\n\r"", 'modified': '2019-12-13T13:32:25Z'}",Insincere and ridiculous business,2019-12-09 09:17:26,"I’ve made a purchase or 36 packets of milo through the app. In the first week, i was told that they only have 12 in the warehouse and asked if i wanted to wait for more stocks before they deliver. I waited for about 1.5 weeks. By the second week, i called to check on the status and they claim that they have no more stocks left. They did not even kept the 12 packets of milo. What is outrageous is that their app still shows that they have the same kind of milo in stock. They refuse to change it for me and claimed it was out of stock. 

What is ridiculous is that their online warehouse operates on a different system then the retail stores. They ask me to call up each and every fairprice outlet to ask if they have the milo. They were not sincere in their apology and made me do their dirty work when it is their poor unprofessional mistake. I mean how hard is it to obtain 36 packets of milo?? 

I ordered from redmart the next day and they delivered promptly. It is the exact same brand of milo. 

Extremely disappointed at this whole delivery service. I wouldn’t even give one star if i have the choice.",1,unfairprice444
False,"{'id': 11747523, 'body': 'We’re sorry for the unstable app experience you had with us. We were experiencing a technical issue on the mentioned date. Can you try again please? Else, please contact us @ app-feedback@fairprice.com.sg so we can look into the issue. ', 'modified': '2019-11-09T11:50:09Z'}",Worse update ever,2019-10-26 04:57:59,"I got so frustrated with the newly updated app that I have to leave my first review in the App Store. The update does not allow user to re-add everything from their old orders into the cart. I tried searching for the button which says “re-order” for a good ten minutes. Now I have finally added each time into my cart, it takes forever to get me to the check out page, it said time out gazillion times. It keeps loading and loading but it doesn’t work at all. Please fix this useless update else I won’t be shopping with FairPrice anymore. Overall,  The app is now pretty inconvenient and I wouldn’t recommend people to use it.",2,Lemongirl899
False,,Sooooo slow....,2018-03-30 04:42:02,"1. Some important description of items cannot be seen without selecting the item. Then wait 5 s for it to load! E.g. Frangasul frozen chicken...  Is it thigh, drumstick, wings? Maybe 3 lines of text will help. 
2. If I search for something a few times consecutively, the only way to get back to the home page is to reverse all the steps? Isn’t there a faster way to do this? What a waste of time. 
3. Save my previous order. Chances is that I will want to order the same again. 
4. To enter expiry date of credit card, it requested for the MM format but the pull down menu spells out the month! Magically it excepted the month spelt out after several times. 
5. Every time I select something I have to wait 5-10s for it to load.",1,Crux11
False,"{'id': 15465695, 'body': ""We sincerely apologize for the troubles you've had with the app. We're actually looking into this issue. Please drop us a message at app-feedback@fairprice.com.sg if you have any other feedback. We value your opinion and seek your help to improve the user experience. Thank you.\r"", 'modified': '2020-05-21T09:34:10Z'}",Out of stock items,2020-05-05 22:02:09,"Please stop removing the out of stock items from the cart.  You can just list it as out of stock and not select them when we cart out.  When stocks becomes available, we will see it in the cart and be able to select it to cart out.  Every time you remove out of stock items, we need to remember which items they are and keep searching for them until they are back in stock.  Please also include a feature where we are select which items in the cart to check out, not necessarily having to cart out everything therein.",3,celosia_lyn
False,,Need more improvement,2019-10-11 01:06:22,"The design of this newer version looks much better and easier to navigate. However, with this new app, the delivery comes from a near by Fairprice store. Many items which I have been ordered regularly are no longer available or frequently out of stock for a long time. When I change to another address, I can see that the items are still available and not out of stock. Let me know if there is a way to change the supplying store. It is useless with a better UI but we can’t get items we want. I used to make purchase every week but now I have to switch to another provider.",2,Jyh Chyang
False,,Unstable and Slow. Search and Filter Needs Improvement,2019-05-14 12:27:21,"Unstable
When checking out, I was stuck at “loading page”. Totally hang-, I closed the app (risking my credit card being charge once) and try again. But it stall again after I confirm and “Pay Now”.... :(

Slow
Laggy when I tap on things and function. Need to be very patient.

Search Function
Your search field must be very specific. For eg. I was searching for dumplings, if I typed “dumpling”, there’s “dumpling” and “dumplings”. I want to see all in the plural and non-plural category, so I typed “dump”.... search will tell you nothing found -__-“

Filter Function
You can’t select too many fields in filter function. It will just fail and inform you there is nothing. For eg. I select more than 10 different wine brands which I want, it is unable to register so many fields.",5,Acellace
False,,Website is glitchy so is the app..,2018-02-10 05:06:07,"Delighted for a brief moment when NTUC Fairprice rolled out their new interface BUT it is unfortunate that the same glitches/issues remains. (1) Auto-logout is frustrating & app does not have the feature of 'remembering' your login details.  (2) App often crashes too; you get kicked out & then when you log back in - your entire shopping list is WIPED OUT. There's no back-up that auto saves the check out cart or list. So imagine you've painstakingly added a whole long list.. (3) Website is equally weak, so no choice but to bear with the glitches & using the app.",3,Cuby's Mum
False,"{'id': 11295288, 'body': 'We’re sorry for the unpleasant experience you had with us. We value your feedback and want to understand more so that we can continuously improve the user experience. Please help us improve! \n\nWe will be happy to offer a token of appreciation for your feedback and help. Do contact us at app-feedback@fairprice.com.sg.', 'modified': '2019-10-17T01:53:25Z'}",Worse after update,2019-10-15 05:42:00,"Hard to navigate, minimal variety,  most food actually out of stock despite being in stock in physical stores. Cannot check cart items, always diverted to address for delivery and then app forgets the address and requests for it again. Last deliveries always have food items out of stock so order amended.  Food quantities should be updated BEFORE allowing purchase, not amending invoice after customer completed order and expecting delivery. Not even a courtesy call to update that items have been changed. During delivery, no invoice provided to counter check if there is missing items.   Save your time and choose another app or go to the store.",1,Dxr8
False,,Bad payment experience on FairPrice On,2018-07-21 03:10:04,"Payment capability is terrible, 99% of the time the transactions don’t go through with 1st attempt.

I ordered some items on Sat 21 July 2018, when I tried to paid with card #1 the session timed, I tried again - still timed out. I gave the last attempt with another card (card #2) it went through. I was happy that I finally placed the order.

BUT, the confirmation I received indicated the payment was done by card #1. This is one confused app. I checked the statement on card #2, noticed there is an unposted transaction on card #2 as well.

I called FairPrice customer service line, the agent claims there is only 1 transaction. I called the card issuer to block the transaction, the agent says nothing can be done from their side. 

I have been told I need to wait until transaction is posted and dispute. It is NOT my fault the payment screen doesn’t work as expected now I have to use my time to track the status and call back for the disputes. This is TERRIBLE customer experience! Utterly disappointed.",1,unhappy customer july 2018
False,,Easy to use but can be smoother,2018-04-16 17:42:17,"1. Many items with Long names cannot be seen and have to click individual to see the flavour or the type eg (seaweed choices and Dynamo detergent)
2. Good to have Option for remarks
3. Good to have Option for NtUc member to earn link points (1 of the reason I buy directly from store)
4. Promos on free gift does not show the items to select on promo. Have to find from main page and view the whole selection. Should link all the matching products on promo.",4,Hanztirah
False,,Touch ID Support!,2018-05-06 17:40:47,"Functionality wise I’m OK with the App.

HOWEVER, my biggest complaint is the missing of Touch ID support AND not saving password AND even won’t allow you to paste password (I use password manager to save long passwords, so you can imagine my frustration each time I need to type it instead of pasting.) Come on, even Bank Apps allow you to paste passwords and authenticate using your finger prints, what’s holding you back? And if you don’t know, disallowing password pasting gives you absolutely no gain over security, but instead it simply pisses off every customer who cares a lot of his/her passwords and use password manager to protect them. Till you guys resolve this, my one star remains.",1,ibic
False,"{'id': 15466618, 'body': ""We sincerely apologize for the troubles you've had with your order. Due to the increase in demand recently, we've had some capacity issues. We're constantly working to expand our product range and ensure stock availability to serve you better. Thank you for your patience and understanding. Stay safe and have a good day (:"", 'modified': '2020-05-21T10:09:18Z'}",Go shop better than use online apps,2020-03-14 06:06:22,"Let me share my experience. I placed order for 2 items on Tuesday and make delivery request on Saturday. On Saturday morning (2hr before delivery), i received mail by saying that 1 item is out of stock and my order was automatically amended and left with 1 item. Fairprice don’t even give any options like item exchange or replacement but just cancel in that way. And the fairprice apps is showing the items is still in stock, i not sure if fairprice has align the physical stock lever vs apps info properly (i guess no). Overall online shopping experience is not feel good.",2,kk_sg
False,,Auto Log out issue,2018-03-08 21:48:25,"The updated app keeps logging my account out after a while, so I have to keep logging into the account on the HP and re-add all the many items I want. More troublesome in that sense. Whereas in the past, even after a few days when I went to the app, the items that I had added were still there as my account was kept logged in. The updated app should not auto-log out the users so quickly, unless the users themselves decide to log out of the system account. Especially when I am busy and need a few days to decide on the online grocery items.",2,Candyfloss81
False,,Closes page after keying card details,2018-04-20 14:22:53,"I am using am ipad. I can make my orders but it closes the payment page after clicking save button. Not going through to the next step of review page. Tried to add payment details again and still the same. I was able to fully checkout using my safari browser and login my account to fairprice website and completed my payment there. First time I encountered this after their first upgrade to fairprice on app. The old one is working properly. Even their recent update on their fairpriceon app, still the same thing happens.",2,boggzki
False,"{'id': 11253641, 'body': 'We’re sorry for the unstable app experience you had with us. We value your feedback and want to understand more so that we can continuously improve the user experience. \r\n\r\nPlease help us improve! We will be happy to offer a token of appreciation for your feedback and help. Do contact us at app-feedback@fairprice.com.sg.\r', 'modified': '2019-10-15T07:03:05Z'}",Upgrade is problematic!,2019-10-14 13:31:35,What is happening???? I have been using the app and have been a very happy customer. This new upgrade suddenly doesn’t work!!! I keyed in 1 number and the order automatically changes to a much bigger number till my total become a few million dollars worth of purchase!!! I can’t order online for the past few days because of this problem!,4,Ros B S
False,,Please upgrade app!,2018-07-31 03:33:48,"This is a frequently used app but unfortunately my least fave at the moment. Pls take the time to read my feedback. I am happy to work with anyone in your web team to improve it. Contact me!

1. It’s very very unfair that I cannot use my Ocbc Plus credit card to accrue my link points n rebates. Why am I being I being punished as a loyal customer?

2. It takes a long time to update or refresh a screen. Esp when updating qty. 

3. Keeps freezing n crashing at the cart page. 

4. In searches which yield many pages of items, it’s very frustrating to be thrown back into search page in the middle of scrolling. To make matters worse, when I come back to the same search filters, I gotta start all over again from the first page!

5. Search filters should get more intelligent. Pet food really should not be showing up with all the poultry n meats lol. 

Thanks for your time. Happy to be your consumer tester anytime!",2,Bearaffe
False,,Normal app &....,2018-05-25 10:19:19,"Design of app to suit FairOn but not consumer in mind! Whatever discount is subjected to their clause and regulation which became uncleared to consumer (no proper illustration to layman who just want to make an online purchase w/ discount & offer) & quoting your that “you should have called customer service office (CSO) before payment”. This become an issue to consumer who can only made online purchase after 6pm as the office is close, hence leaving the consumer in limbo and unable to make purchase or enjoy the benefit. Follow up of CSO was not up to mark, when verbal promise to call back by weekend (so seem no point to call in the first place).
Finally, I do not recommend this app w/ the a/m points.",1,Luviz08
False,,Feedback,2020-07-01 12:43:36,Easy to place orders without much time loss. But ordered items can become out of stock at the final stage. Little embarrassing. Also credit card change the payment does not get pass thru. Only the same card can be used again and again. Also promotion codes are not listed in the site. These are the things that can be improved.,5,RS Manian
False,"{'id': 15466016, 'body': 'Thank you for your support and understanding during this period. We’ll continue to improve our user-experience, features, range of products and deals to serve you better. Have a great day! (:\r', 'modified': '2020-05-21T09:47:58Z'}",Feedback,2020-04-21 03:38:48,"Special thanks to the customer service centre staff this morning. I’m not very good in computer, half way I was lost as cannot find the button to send the reply back to her. And she do take some time to wait for my reply. Unfortunately I was stuck quite a period of time. So sorry about it. Ended up she had to close my chat as she had to service others.",5,cck auntie
False,,..,2020-05-30 10:34:54,"I have uses this app to buy for online grocery especially this CB period, but I realised there is no link point given when I shop online . 

But when I went to see goggles and search NTUC app it shows as below : 
So one side show that u can still earn link points to get so call attractive reward while ur app itself did not auto give out link point when one buy online. 
Earn 2 LinkPoints with every $1 spend. Redeem 150 LinkPoints to save $1 off your purchase. Earn Attractive Rewards When You Shop Online And Spend At Over 1,000 Stores",2,穗佳
False,,Great improvement,2018-03-29 01:07:06,"Since the last time I used the app, it is more user friendly and easier to navigate. Even when I logged in or idle for a while, the items in my cart were not removed. It makes shopping for grocery more convenient now especially for SAHM of 3 like me! Absolutely highly recommended if you do not want to squeeze in crowded supermarkets with toddlers.",5,Pastrygirl23
False,"{'id': 11747532, 'body': 'We’re sorry for the unstable app experience you had with us. We were experiencing a technical issue on the mentioned date. Can you try again please? Else, please contact us @ app-feedback@fairprice.com.sg so we can look into the issue. ', 'modified': '2019-11-09T11:50:46Z'}",Laggy and full of error,2019-10-26 13:44:37,"Hi, download the Apps and trying to do my shopping online. App was laggy and takes forever to load the products. After much effort and finalizing my purchase, gave me an error saying request time out and ask me to resubmit my purchase. Re-submit twice and still says request time out. Exit the app and check my order, to my horror, I’m being charged twice for the same order! Please sort this out and refund me my purchase! It’s a big disappointment as this is my first time trying to do my grocery online with the apps! The experience is not good!",1,Fools garden
False,,Unable to log in,2018-02-22 13:00:10,I have tried to log in to the account severe times but however it keeps on saying that the information i have key in is not correct. But I have change the password according to the email I have but I’m still not able to log in. Please tell me a way to thank you,5,Jess 987670984
False,,Slow and not smooth,2018-04-28 18:46:36,"You can't delete several items from the cart at one go. I.e. Need to delete one item at a time and every time I need to wait for update and wait for messages on delivery qualification and PWP to be flashed on the screen before I can process credit to do next thing. Please remove these messages. Very annoying and takes up time. 

When I try to delete by swiping to the left, instead I go to product page. It happens many times so it irritates me over and over again.",2,Some57
